Name,Age,Gender,Major,Living_Area,Parent_Education,Scholarship_Status,Part_Time_Job,Extracurricular_Activities,Internet_Access,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Attendance_Rate,Stress_Level,Exam_Proximity,Math_Score,Science_Score,Language_Score,History_Score,Average_Score,Grade
Linda Johnson,24,Female,Arts,Rural,Bachelor,No,No,No,Yes,1.24,6.69,77.3,3.6,No,52,43,69,66,58,C
Thomas Thomas,21,Male,Arts,Suburban,Master,No,No,No,Yes,3.67,7.34,59.7,7.3,Yes,59,64,74,68,66,C
Joseph Rodriguez,23,Male,STEM,Suburban,High School,Yes,No,No,Yes,5.31,6.78,56.0,2.9,No,81,72,67,69,72,B
Michael Wright,25,Male,STEM,Rural,High School,No,No,No,Yes,2.7,9.59,84.9,3.2,No,63,72,55,58,62,C
Jennifer Nguyen,25,Female,Arts,Urban,Bachelor,Yes,No,No,Yes,3.59,7.04,98.2,4.6,Yes,69,76,90,86,80,B
Margaret Williams,20,Female,Arts,Urban,Master,No,No,No,Yes,6.88,9.18,81.5,1.0,No,58,81,97,82,80,B
Mary Garcia,25,Female,Business,Rural,Bachelor,Yes,Yes,No,Yes,5.78,5.6,65.0,6.2,Yes,74,61,61,62,65,C
Richard Anderson,24,Male,Arts,Suburban,High School,No,No,No,Yes,7.31,5.11,73.6,1.0,No,59,63,72,70,66,C
Steven Hill,22,Male,Business,Rural,Bachelor,No,No,No,Yes,7.53,5.66,85.3,4.7,No,78,67,82,75,76,B
James Scott,18,Male,Business,Rural,Master,No,Yes,No,Yes,3.03,8.43,62.7,4.2,No,85,71,72,60,72,B
Alex Rivera,24,Female,Humanities,Urban,Master,No,No,No,Yes,0.8,9.11,53.5,1.4,No,98,96,72,80,87,A
Anthony Anderson,22,Male,Business,Rural,PhD,No,No,Yes,Yes,2.85,6.06,77.8,3.9,No,68,68,80,68,71,B
Mark Nguyen,23,Male,Humanities,Suburban,High School,Yes,No,Yes,Yes,8.51,6.45,61.1,5.2,Yes,73,73,83,95,81,B
Sarah Smith,25,Female,STEM,Suburban,High School,No,No,Yes,Yes,3.48,5.6,73.4,4.1,No,65,73,64,54,64,C
Barbara Ramirez,23,Female,STEM,Suburban,Bachelor,Yes,No,No,Yes,8.41,4.83,91.7,4.2,No,83,77,81,64,76,B
